sample_id,data_path,Production_Quality,Production_Complexity,Content_Enjoyment,Content_Usefulness
audiomos2025-track2-audio-unbalanced_train_segments_audio_YrPbSork6ls_80000_90000,/your_path/unbalanced_train_segments/audio/YrPbSork6ls_80000_90000.flac,5.2,2.5,2.3,4.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_YtxXRV2Lp_w_20000_30000,/your_path/unbalanced_train_segments/audio/YtxXRV2Lp_w_20000_30000.flac,5.8,2.9,3.2,5.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_YyHewnIe7go_30000_40000,/your_path/unbalanced_train_segments/audio/YyHewnIe7go_30000_40000.flac,6.4,2.3,2.8,5.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_Z0VDI0HKCqM_10000_20000,/your_path/unbalanced_train_segments/audio/Z0VDI0HKCqM_10000_20000.flac,6.0,2.0,4.1,5.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_Z4MvaT1AYss_110000_120000,/your_path/unbalanced_train_segments/audio/Z4MvaT1AYss_110000_120000.flac,7.1,4.8,5.1,6.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_ZATnQGPJUCM_30000_40000,/your_path/unbalanced_train_segments/audio/ZATnQGPJUCM_30000_40000.flac,5.6,4.4,4.2,3.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_ZRY7I9xCLfo_30000_40000,/your_path/unbalanced_train_segments/audio/ZRY7I9xCLfo_30000_40000.flac,6.9,5.9,3.9,5.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_ZagzJLrdj00_0_10000,/your_path/unbalanced_train_segments/audio/ZagzJLrdj00_0_10000.flac,6.1,2.7,2.8,6.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_Zl8E_XwFQlw_60000_70000,/your_path/unbalanced_train_segments/audio/Zl8E_XwFQlw_60000_70000.flac,5.5,2.9,3.3,4.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_ZvSach5L3Oo_200000_210000,/your_path/unbalanced_train_segments/audio/ZvSach5L3Oo_200000_210000.flac,6.3,4.1,6.4,6.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_ZyXRbst8xEY_10000_20000,/your_path/unbalanced_train_segments/audio/ZyXRbst8xEY_10000_20000.flac,7.3,4.9,5.6,7.3
audiomos2025-track2-audio-unbalanced_train_segments_audio__1B17L_UWX4_40000_50000,/your_path/unbalanced_train_segments/audio/_1B17L_UWX4_40000_50000.flac,5.0,3.1,2.6,4.3
audiomos2025-track2-audio-unbalanced_train_segments_audio__F_LgqdUZjA_0_10000,/your_path/unbalanced_train_segments/audio/_F_LgqdUZjA_0_10000.flac,3.4,4.2,2.4,2.7
audiomos2025-track2-audio-unbalanced_train_segments_audio__QObio-WHGg_40000_50000,/your_path/unbalanced_train_segments/audio/_QObio-WHGg_40000_50000.flac,4.8,2.3,3.3,5.1
audiomos2025-track2-audio-unbalanced_train_segments_audio__Sp2RkG6d6c_60000_70000,/your_path/unbalanced_train_segments/audio/_Sp2RkG6d6c_60000_70000.flac,6.8,3.8,3.9,6.1
audiomos2025-track2-audio-unbalanced_train_segments_audio__Tk19vaTPUs_170000_180000,/your_path/unbalanced_train_segments/audio/_Tk19vaTPUs_170000_180000.flac,5.8,4.0,5.1,5.7
audiomos2025-track2-audio-unbalanced_train_segments_audio___ZZqkMV8sY_90000_100000,/your_path/unbalanced_train_segments/audio/__ZZqkMV8sY_90000_100000.flac,5.5,5.7,5.8,4.6
audiomos2025-track2-audio-unbalanced_train_segments_audio___t7BuXSBFc_290000_300000,/your_path/unbalanced_train_segments/audio/__t7BuXSBFc_290000_300000.flac,3.9,4.4,3.4,4.8
audiomos2025-track2-audio-unbalanced_train_segments_audio__cLVFGJq6hU_0_10000,/your_path/unbalanced_train_segments/audio/_cLVFGJq6hU_0_10000.flac,6.7,2.4,4.1,6.8
audiomos2025-track2-audio-unbalanced_train_segments_audio__cftZK6mT8M_30000_40000,/your_path/unbalanced_train_segments/audio/_cftZK6mT8M_30000_40000.flac,6.3,2.9,4.0,5.3
audiomos2025-track2-audio-unbalanced_train_segments_audio__gGXAsACaxY_450000_460000,/your_path/unbalanced_train_segments/audio/_gGXAsACaxY_450000_460000.flac,5.3,2.6,2.8,4.8
audiomos2025-track2-audio-unbalanced_train_segments_audio__ltrwGQkIr0_0_10000,/your_path/unbalanced_train_segments/audio/_ltrwGQkIr0_0_10000.flac,6.5,3.2,5.3,7.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_a0TiIc1iYz8_30000_40000,/your_path/unbalanced_train_segments/audio/a0TiIc1iYz8_30000_40000.flac,4.5,1.9,1.4,4.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_a491KDrYvP0_140000_150000,/your_path/unbalanced_train_segments/audio/a491KDrYvP0_140000_150000.flac,6.4,4.0,3.1,5.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_a642_3otMn0_0_10000,/your_path/unbalanced_train_segments/audio/a642_3otMn0_0_10000.flac,5.0,3.6,2.2,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_aBPdbVB8Jjk_20000_30000,/your_path/unbalanced_train_segments/audio/aBPdbVB8Jjk_20000_30000.flac,6.6,4.9,4.3,5.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_aDpN70rcIn0_40000_50000,/your_path/unbalanced_train_segments/audio/aDpN70rcIn0_40000_50000.flac,3.6,4.0,2.2,3.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_aGfmNNoE4u8_60000_70000,/your_path/unbalanced_train_segments/audio/aGfmNNoE4u8_60000_70000.flac,6.8,4.4,4.1,5.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_aIlEdFaQpSc_50000_60000,/your_path/unbalanced_train_segments/audio/aIlEdFaQpSc_50000_60000.flac,4.7,3.9,2.5,4.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_aLINHianGc4_50000_60000,/your_path/unbalanced_train_segments/audio/aLINHianGc4_50000_60000.flac,6.3,3.1,3.9,5.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_aYAFPTJlifo_0_10000,/your_path/unbalanced_train_segments/audio/aYAFPTJlifo_0_10000.flac,6.5,2.2,2.8,5.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_aYzXFahLT_E_0_10000,/your_path/unbalanced_train_segments/audio/aYzXFahLT_E_0_10000.flac,4.1,3.8,2.8,4.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_ahqNRlIakYA_20000_30000,/your_path/unbalanced_train_segments/audio/ahqNRlIakYA_20000_30000.flac,5.6,3.7,2.3,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_anvngue8Qh8_50000_60000,/your_path/unbalanced_train_segments/audio/anvngue8Qh8_50000_60000.flac,4.1,4.3,5.4,4.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_b6ePuvUc2ss_30000_40000,/your_path/unbalanced_train_segments/audio/b6ePuvUc2ss_30000_40000.flac,6.2,2.2,3.7,5.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_bGAqj6uELtM_20000_30000,/your_path/unbalanced_train_segments/audio/bGAqj6uELtM_20000_30000.flac,5.0,3.2,4.6,4.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_bPgQTgTy6Jc_60000_70000,/your_path/unbalanced_train_segments/audio/bPgQTgTy6Jc_60000_70000.flac,4.8,3.1,1.8,4.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_bRy47gEcPUk_280000_290000,/your_path/unbalanced_train_segments/audio/bRy47gEcPUk_280000_290000.flac,4.4,3.4,3.0,3.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_bcWBkCPYkWw_60000_70000,/your_path/unbalanced_train_segments/audio/bcWBkCPYkWw_60000_70000.flac,5.9,3.8,2.9,4.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_bj6oxtkzbAI_0_10000,/your_path/unbalanced_train_segments/audio/bj6oxtkzbAI_0_10000.flac,6.7,2.8,3.8,5.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_bopGTluldPY_0_10000,/your_path/unbalanced_train_segments/audio/bopGTluldPY_0_10000.flac,6.5,4.5,4.1,5.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_bwY6_hNnF1U_380000_390000,/your_path/unbalanced_train_segments/audio/bwY6_hNnF1U_380000_390000.flac,5.1,2.7,5.1,5.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_c-WKWUIROrE_40000_50000,/your_path/unbalanced_train_segments/audio/c-WKWUIROrE_40000_50000.flac,5.0,4.9,3.6,4.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_c1LTqm4NfrM_320000_330000,/your_path/unbalanced_train_segments/audio/c1LTqm4NfrM_320000_330000.flac,6.0,3.3,3.3,5.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_cE_tNGHjtog_140000_150000,/your_path/unbalanced_train_segments/audio/cE_tNGHjtog_140000_150000.flac,6.3,3.4,5.5,6.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_cM_UK9depk8_410000_420000,/your_path/unbalanced_train_segments/audio/cM_UK9depk8_410000_420000.flac,6.1,4.1,3.7,3.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_cSdwnAQKZ80_10000_20000,/your_path/unbalanced_train_segments/audio/cSdwnAQKZ80_10000_20000.flac,6.8,2.2,3.6,6.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_ca859u1g194_20000_30000,/your_path/unbalanced_train_segments/audio/ca859u1g194_20000_30000.flac,3.7,3.8,2.9,3.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_ckqu7KbWBjo_220000_230000,/your_path/unbalanced_train_segments/audio/ckqu7KbWBjo_220000_230000.flac,6.4,4.6,4.6,6.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_d4ZLWk1Z19w_30000_40000,/your_path/unbalanced_train_segments/audio/d4ZLWk1Z19w_30000_40000.flac,6.2,4.9,5.2,6.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_d5EgK816D7U_290000_300000,/your_path/unbalanced_train_segments/audio/d5EgK816D7U_290000_300000.flac,5.7,4.0,3.7,5.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_dBE-Vh7eNHw_0_10000,/your_path/unbalanced_train_segments/audio/dBE-Vh7eNHw_0_10000.flac,4.9,3.5,3.8,4.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_dIxGPQ71IqA_0_10000,/your_path/unbalanced_train_segments/audio/dIxGPQ71IqA_0_10000.flac,4.3,2.4,2.2,3.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_dPNffdl_OrE_20000_30000,/your_path/unbalanced_train_segments/audio/dPNffdl_OrE_20000_30000.flac,5.7,3.5,2.7,5.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_dQC93TrA1ng_30000_40000,/your_path/unbalanced_train_segments/audio/dQC93TrA1ng_30000_40000.flac,4.0,2.4,2.1,3.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_dVFvvkVCBC8_10000_20000,/your_path/unbalanced_train_segments/audio/dVFvvkVCBC8_10000_20000.flac,7.2,2.3,7.1,7.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_dWVc6D52gPc_30000_40000,/your_path/unbalanced_train_segments/audio/dWVc6D52gPc_30000_40000.flac,6.8,4.6,3.8,6.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_dYaVx9-VFoA_40000_50000,/your_path/unbalanced_train_segments/audio/dYaVx9-VFoA_40000_50000.flac,5.5,2.5,3.1,4.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_deDUEiI1oC0_0_10000,/your_path/unbalanced_train_segments/audio/deDUEiI1oC0_0_10000.flac,6.6,2.8,2.9,7.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_dfhZIScgNFQ_30000_40000,/your_path/unbalanced_train_segments/audio/dfhZIScgNFQ_30000_40000.flac,4.4,2.8,2.5,2.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_dhsclD85PKw_30000_40000,/your_path/unbalanced_train_segments/audio/dhsclD85PKw_30000_40000.flac,6.4,3.5,5.9,6.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_diBHidzVFxU_70000_80000,/your_path/unbalanced_train_segments/audio/diBHidzVFxU_70000_80000.flac,6.0,3.1,6.2,6.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_diL0OGHG-ZY_50000_60000,/your_path/unbalanced_train_segments/audio/diL0OGHG-ZY_50000_60000.flac,6.2,4.1,3.1,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_dv11msvxVco_60000_70000,/your_path/unbalanced_train_segments/audio/dv11msvxVco_60000_70000.flac,6.7,4.6,4.4,6.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_dxif1-KExhA_80000_90000,/your_path/unbalanced_train_segments/audio/dxif1-KExhA_80000_90000.flac,4.9,2.8,2.4,3.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_dzzKkkohI8Y_60000_70000,/your_path/unbalanced_train_segments/audio/dzzKkkohI8Y_60000_70000.flac,6.3,3.2,5.0,6.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_e-EF4LZ_Zx4_260000_270000,/your_path/unbalanced_train_segments/audio/e-EF4LZ_Zx4_260000_270000.flac,6.3,2.2,2.5,6.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_e4b2GZcj4Eg_10000_20000,/your_path/unbalanced_train_segments/audio/e4b2GZcj4Eg_10000_20000.flac,7.3,4.7,6.9,7.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_e6__vJRooOo_30000_40000,/your_path/unbalanced_train_segments/audio/e6__vJRooOo_30000_40000.flac,6.0,7.0,4.6,4.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_e92RiPu5E-Y_150000_160000,/your_path/unbalanced_train_segments/audio/e92RiPu5E-Y_150000_160000.flac,5.1,3.7,3.4,5.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_eH4RxQx7J4c_30000_40000,/your_path/unbalanced_train_segments/audio/eH4RxQx7J4c_30000_40000.flac,6.1,3.6,3.0,5.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_eIslICRKTpE_480000_490000,/your_path/unbalanced_train_segments/audio/eIslICRKTpE_480000_490000.flac,6.9,4.7,5.0,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_eNf1SWsIft8_0_10000,/your_path/unbalanced_train_segments/audio/eNf1SWsIft8_0_10000.flac,7.2,3.6,6.5,6.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_eOlXAFYpZ_E_0_10000,/your_path/unbalanced_train_segments/audio/eOlXAFYpZ_E_0_10000.flac,6.2,3.9,4.2,6.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_eTyfThlQI3c_30000_40000,/your_path/unbalanced_train_segments/audio/eTyfThlQI3c_30000_40000.flac,5.4,2.8,3.5,4.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_eWhnIsEUblQ_150000_160000,/your_path/unbalanced_train_segments/audio/eWhnIsEUblQ_150000_160000.flac,5.3,3.5,3.3,4.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_eYgbVaBSBtA_0_10000,/your_path/unbalanced_train_segments/audio/eYgbVaBSBtA_0_10000.flac,5.3,4.7,3.0,4.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_ekKnJXTkLkA_190000_200000,/your_path/unbalanced_train_segments/audio/ekKnJXTkLkA_190000_200000.flac,5.9,3.7,3.6,5.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_ekoAY9e7sbI_400000_410000,/your_path/unbalanced_train_segments/audio/ekoAY9e7sbI_400000_410000.flac,5.0,3.0,2.6,4.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_ervX5J6-kzM_30000_40000,/your_path/unbalanced_train_segments/audio/ervX5J6-kzM_30000_40000.flac,5.5,4.6,4.2,5.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_etYr12qvaJk_330000_340000,/your_path/unbalanced_train_segments/audio/etYr12qvaJk_330000_340000.flac,5.5,1.9,3.4,4.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_evtMsNV0ZX8_90000_100000,/your_path/unbalanced_train_segments/audio/evtMsNV0ZX8_90000_100000.flac,8.3,6.2,7.0,7.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_fCDFb6AWwCQ_30000_40000,/your_path/unbalanced_train_segments/audio/fCDFb6AWwCQ_30000_40000.flac,7.1,5.3,7.0,6.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_fCcBQnYalXk_20000_30000,/your_path/unbalanced_train_segments/audio/fCcBQnYalXk_20000_30000.flac,7.0,4.0,6.6,6.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_fEtjGNHQxRI_0_10000,/your_path/unbalanced_train_segments/audio/fEtjGNHQxRI_0_10000.flac,4.3,2.4,1.9,3.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_fJVb5dNbS_s_10000_20000,/your_path/unbalanced_train_segments/audio/fJVb5dNbS_s_10000_20000.flac,4.4,4.0,2.7,3.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_fOVsAMJ3Yms_30000_40000,/your_path/unbalanced_train_segments/audio/fOVsAMJ3Yms_30000_40000.flac,5.4,5.3,3.2,4.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_fR-9Gc_rMBM_250000_260000,/your_path/unbalanced_train_segments/audio/fR-9Gc_rMBM_250000_260000.flac,6.1,4.4,3.6,4.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_fU1QT73MzD8_140000_150000,/your_path/unbalanced_train_segments/audio/fU1QT73MzD8_140000_150000.flac,5.0,3.6,2.9,4.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_fWA-PlstJmw_270000_280000,/your_path/unbalanced_train_segments/audio/fWA-PlstJmw_270000_280000.flac,4.1,3.6,3.2,3.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_fWQ5vdVFjnY_30000_40000,/your_path/unbalanced_train_segments/audio/fWQ5vdVFjnY_30000_40000.flac,6.1,5.3,3.4,5.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_fbTPWCQISzI_30000_40000,/your_path/unbalanced_train_segments/audio/fbTPWCQISzI_30000_40000.flac,5.2,3.4,4.7,5.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_fbVDbpakKYM_60000_70000,/your_path/unbalanced_train_segments/audio/fbVDbpakKYM_60000_70000.flac,6.2,4.1,5.4,6.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_fhYhDoLCe7s_210000_220000,/your_path/unbalanced_train_segments/audio/fhYhDoLCe7s_210000_220000.flac,6.4,4.1,6.1,6.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_fxTqHm7IocM_40000_50000,/your_path/unbalanced_train_segments/audio/fxTqHm7IocM_40000_50000.flac,7.3,2.7,6.3,6.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_g-qLKtGs-NI_160000_170000,/your_path/unbalanced_train_segments/audio/g-qLKtGs-NI_160000_170000.flac,6.7,4.3,4.0,6.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_g0ACaijG5Rs_110000_120000,/your_path/unbalanced_train_segments/audio/g0ACaijG5Rs_110000_120000.flac,5.7,2.3,2.3,4.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_g7rVzCSbmN4_50000_60000,/your_path/unbalanced_train_segments/audio/g7rVzCSbmN4_50000_60000.flac,5.3,4.0,5.3,5.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_gEM6C1bWiho_40000_50000,/your_path/unbalanced_train_segments/audio/gEM6C1bWiho_40000_50000.flac,5.8,2.3,2.7,5.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_gGb2SX-ro1U_30000_40000,/your_path/unbalanced_train_segments/audio/gGb2SX-ro1U_30000_40000.flac,5.9,3.1,3.2,5.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_gN0jcCdatPA_0_10000,/your_path/unbalanced_train_segments/audio/gN0jcCdatPA_0_10000.flac,4.2,3.2,2.1,3.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_gPLRJr2pFtI_10000_20000,/your_path/unbalanced_train_segments/audio/gPLRJr2pFtI_10000_20000.flac,5.8,5.1,6.4,6.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_gZcqmpqTvQo_30000_40000,/your_path/unbalanced_train_segments/audio/gZcqmpqTvQo_30000_40000.flac,5.2,4.6,3.3,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_g_ZWZcY1IJE_30000_40000,/your_path/unbalanced_train_segments/audio/g_ZWZcY1IJE_30000_40000.flac,4.6,2.5,4.2,4.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_gk-Oy9zMYO4_10000_20000,/your_path/unbalanced_train_segments/audio/gk-Oy9zMYO4_10000_20000.flac,7.2,4.1,5.7,6.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_gmebDQEgx1Q_20000_30000,/your_path/unbalanced_train_segments/audio/gmebDQEgx1Q_20000_30000.flac,6.1,3.4,4.0,4.6
audiomos2025-track2-audio-unbalanced_train_segments_audio_grd67war0eM_30000_40000,/your_path/unbalanced_train_segments/audio/grd67war0eM_30000_40000.flac,5.8,2.7,4.5,5.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_gss2D-BMEuo_70000_80000,/your_path/unbalanced_train_segments/audio/gss2D-BMEuo_70000_80000.flac,4.7,3.5,2.5,4.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_gvfOdSzBFwM_100000_110000,/your_path/unbalanced_train_segments/audio/gvfOdSzBFwM_100000_110000.flac,7.3,4.0,3.1,5.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_h12TfU8scjs_80000_90000,/your_path/unbalanced_train_segments/audio/h12TfU8scjs_80000_90000.flac,6.6,3.6,3.7,4.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_hENOYy0oJgw_30000_40000,/your_path/unbalanced_train_segments/audio/hENOYy0oJgw_30000_40000.flac,6.2,2.7,3.3,4.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_hXsq3VjpQAk_40000_50000,/your_path/unbalanced_train_segments/audio/hXsq3VjpQAk_40000_50000.flac,7.1,5.0,3.8,6.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_h_hnjQNTmOU_80000_90000,/your_path/unbalanced_train_segments/audio/h_hnjQNTmOU_80000_90000.flac,6.9,3.1,4.8,6.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_haaCJsaCfac_110000_120000,/your_path/unbalanced_train_segments/audio/haaCJsaCfac_110000_120000.flac,7.0,4.2,4.0,7.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_hcj65UgCzKI_30000_40000,/your_path/unbalanced_train_segments/audio/hcj65UgCzKI_30000_40000.flac,5.5,4.0,3.8,4.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_hfJLH2-7_Ls_0_10000,/your_path/unbalanced_train_segments/audio/hfJLH2-7_Ls_0_10000.flac,5.3,3.6,3.1,4.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_hnDfT88ok7A_20000_30000,/your_path/unbalanced_train_segments/audio/hnDfT88ok7A_20000_30000.flac,7.4,3.4,5.4,7.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_hoEUJsFeink_0_10000,/your_path/unbalanced_train_segments/audio/hoEUJsFeink_0_10000.flac,6.2,3.2,3.3,5.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_hsokOCZQRsA_40000_50000,/your_path/unbalanced_train_segments/audio/hsokOCZQRsA_40000_50000.flac,3.8,2.9,2.4,4.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_i3BWnPsQPa8_30000_40000,/your_path/unbalanced_train_segments/audio/i3BWnPsQPa8_30000_40000.flac,6.6,4.9,5.1,6.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_i3YuoAoeaok_30000_40000,/your_path/unbalanced_train_segments/audio/i3YuoAoeaok_30000_40000.flac,5.2,5.8,5.4,4.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_i4yZiMXJmTs_270000_280000,/your_path/unbalanced_train_segments/audio/i4yZiMXJmTs_270000_280000.flac,6.3,4.8,4.4,6.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_i8tD5PAXZmY_40000_50000,/your_path/unbalanced_train_segments/audio/i8tD5PAXZmY_40000_50000.flac,6.0,3.5,3.7,5.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_iBeWOSNr7EU_10000_20000,/your_path/unbalanced_train_segments/audio/iBeWOSNr7EU_10000_20000.flac,6.8,3.4,6.2,7.1
audiomos2025-track2-audio-unbalanced_train_segments_audio_iDdY9Kzw8Js_70000_80000,/your_path/unbalanced_train_segments/audio/iDdY9Kzw8Js_70000_80000.flac,7.6,4.0,6.0,7.3
audiomos2025-track2-audio-unbalanced_train_segments_audio_iE7pswQoON4_10000_20000,/your_path/unbalanced_train_segments/audio/iE7pswQoON4_10000_20000.flac,5.5,1.9,2.5,4.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_iGUrIw6ZeEc_270000_280000,/your_path/unbalanced_train_segments/audio/iGUrIw6ZeEc_270000_280000.flac,5.5,3.2,4.3,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_iIHMz6aNHKU_100000_110000,/your_path/unbalanced_train_segments/audio/iIHMz6aNHKU_100000_110000.flac,6.2,3.6,4.2,4.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_iJPHTGqBp_E_30000_40000,/your_path/unbalanced_train_segments/audio/iJPHTGqBp_E_30000_40000.flac,6.4,3.8,4.1,6.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_iO41e17j-pE_80000_90000,/your_path/unbalanced_train_segments/audio/iO41e17j-pE_80000_90000.flac,5.2,3.9,5.0,5.0
audiomos2025-track2-audio-unbalanced_train_segments_audio_iW_40jBKQX0_110000_120000,/your_path/unbalanced_train_segments/audio/iW_40jBKQX0_110000_120000.flac,6.2,5.8,3.8,5.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_iX5Igl64Dzo_0_10000,/your_path/unbalanced_train_segments/audio/iX5Igl64Dzo_0_10000.flac,6.0,4.4,3.3,5.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_iX_1okAePg8_410000_420000,/your_path/unbalanced_train_segments/audio/iX_1okAePg8_410000_420000.flac,6.7,3.3,5.5,5.5
audiomos2025-track2-audio-unbalanced_train_segments_audio_iZvTqMsa_1g_420000_430000,/your_path/unbalanced_train_segments/audio/iZvTqMsa_1g_420000_430000.flac,4.7,2.7,2.4,4.2
audiomos2025-track2-audio-unbalanced_train_segments_audio_i_ER8O87unM_20000_30000,/your_path/unbalanced_train_segments/audio/i_ER8O87unM_20000_30000.flac,7.0,5.8,5.3,6.8
audiomos2025-track2-audio-unbalanced_train_segments_audio_iaM17a33P7w_50000_60000,/your_path/unbalanced_train_segments/audio/iaM17a33P7w_50000_60000.flac,5.9,4.5,6.2,4.9
audiomos2025-track2-audio-unbalanced_train_segments_audio_idmdMMb8_dE_290000_300000,/your_path/unbalanced_train_segments/audio/idmdMMb8_dE_290000_300000.flac,5.3,4.2,3.5,4.7
audiomos2025-track2-audio-unbalanced_train_segments_audio_ii9UOxwbF3I_10000_20000,/your_path/unbalanced_train_segments/audio/ii9UOxwbF3I_10000_20000.flac,6.6,3.9,4.3,6.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_ip-KQ9A0VxI_10000_20000,/your_path/unbalanced_train_segments/audio/ip-KQ9A0VxI_10000_20000.flac,7.1,2.3,1.9,6.4
audiomos2025-track2-audio-unbalanced_train_segments_audio_iulcLqBmibM_20000_30000,/your_path/unbalanced_train_segments/audio/iulcLqBmibM_20000_30000.flac,7.1,2.6,5.1,6.4
